FI_CODE,FI_BRANCH,FI_NAME_THAI,FI_NAME_ENG,OPEN_DATE
002,0031,สาขาอาคารอับดุลราฮิม,ABDULRAHIM BUILDING  BRANCH,25460321
002,0032,สาขาเทสโก้ โลตัส พงษ์เพชร,TESCO LOTUS PHONGPHET  BR.,25460509
002,0033,สาขาเซ็นทรัล พระราม 2,Central Rama 2  Br.,25460124
002,0034,สาขาเทสโก้โลตัส มหาชัย,TESTCO LOTUS MAHACHAI BRANCH,25460512
002,0035,สาขาเทสโก้ โลตัส ลาดพร้าว,TESCO LOTUS LATPHRAO  BR.,25451021
002,0036,สาขายู เซ็นเตอร์ จุฬา 42,U CENTER CHULA 42  BRANCE,25460207
002,0037,สาขาออลซีซั่นส์ เพลส,ALL SEASONS PLACE BRANCH,25450930
002,0038,สาขาเทสโก้ โลตัส รังสิต,TESCO LOTUS RANGSIT BRANCH,25450904
002,0039,สาขาบิ๊กซี ดาวคะนอง,BIG C DAOKANONG  BR.,25450830
002,0040,สาขาเทสโก้ โลตัส บางปะกอก,TESCO LOTUS BANGPAKOK BRANCH,25450826
002,0041,สาขาบิ๊กซี สำโรง 2,BIG C SAMRONG 2 BRANCH,25450718
002,0042,สาขาอาคารกรุงเทพประกันภัย/ไว.ดับยู.ซี.เอ.,BANGKOK INSURANCE/Y.W.C.A BUILDING  BRANCH,25450114
002,0043,สาขาบิ๊กซี บางปะกอก,BIG C BANGPAKOK BRANCH,25441212
002,0044,สาขาเทสโก้ โลตัส บางนา,TESCO LOTUS BANGNA  BRANCH,25441101
002,0045,สาขาเทสโก้ โลตัส สุขาภิบาล 1,TESCO LOTUS SUKHAPHIBAM 1 BRANCH,25441228
002,0046,สาขาเซ็นทรัล บางนา,CENTRAL BANGNA  BRANCH,25441102
002,0047,สาขาฟอร์จูน ทาวน์,FORTUNE TOWN BRANCH,25450502
002,0049,สาขาบิ๊กซี บางบอน,BIG C BANGBON BRANCH,25440716
002,0050,สาขาบิ๊กซี รัชดาภิเษก,BIG C RATCHADAPHISEAK BRANCH,25440628
002,0051,สาขาซีคอน บางแค,SEACON BRANGKAE BRANCH,25440616
002,0052,สาขาบิ๊กซี ศรีนครินทร์,BIG C SRINAKARIN BRANCH,25440917
002,0053,สาขาบิ๊กซี ติวานนท์,BIG C TIWANON BRANCH,25451101
002,0054,สาขาจิวเวลรี่เทรดเซ็นเตอร์ สีลม,SILOM JEWELRY TRADE CENTER BRANCH,25400211
002,0055,สาขาถนนรัชดา-ห้วยขวาง,RATCHADA-HUAIKHWANG ROAD BR.,25390510
002,0056,สาขาถนนสุขาภิบาล 3 บึงกุ่ม,"SUKHAPHIBAN 3 ROAD ,BUNG KUM",25390517
002,0057,สาขาถนนสุขาภิบาล 1 รามอินทรา กม.8,"SUKHAPHIBAN 1 ROAD ,RAMINTHRA KM. 8",25390524
002,0058,สาขาถนนรัตนาธิเบศร์,RATTANATHIBET ROAD,25400131
002,0059,สาขาถนนสรงประภา ดอนเมือง,"SONGPRAPHA  ROAD,DONMUANG BRANCH",25390614
002,0060,สาขาถนนรามอินทรา กม.10,"RAMINTHRA ROAD,KM.1 BRANCH",25390621
002,0061,สาขาถนนสามัคคี ประชานิเวศน์,SAMAKKHI ROAD PRACHANIWET BRANCH,25400124
002,0062,สาขานครชัยศรี นครปฐม,NAKHON CHAISI SUB BR.,25400916
002,0063,สาขาเอกมัย,EKKAMAI BRANCH,25410717
002,0064,สาขาแฉล้มนิมิตร,CHALAEM NIMIT BRANCH,25410713
002,0065,สาขาเทสโก้ โลตัส เอกมัย-รามอินทรา,TESCO LOTUS EKKAMAI-RAMINTHRA BRANCH,25430526
002,0066,สาขาบิ๊กซี รามอินทรา,BIG C RAM-IN THRA BRANCH,25440516
002,0067,สาขาบิ๊กซี รัตนาธิเบศร์ 2,BIG C RATTANATHIBET 2 BRANCH,25440616
002,0069,สาขาบิ๊กซี รามคำแหง,BIG C RAMKHAMHAENG BRANCH,25431220
002,0070,สาขาเทสโก้ โลตัส บางแค,TESCO LOTUS BANGKHAE BRANCH,25430526
002,0071,สาขาถนนลำลูกกา คลอง 2,"LAM LUK KA ROAD, KHLONG 2",25420709
002,0072,สาขาถนนเศรษฐกิจ 1 สมุทรสาคร,"SETHAKIT 1 ROAD SAMUT SAKHON,BRANCH",25400411
002,0073,สาขาถนนโรจนะ-อยุธยา,ROTCHANA ROAD AYUTTHAYA,25390712
002,0074,สาขาสยามแม็คโคร สาทร,SIAM MAKRO SATHON BRANCH,25430709
002,0075,สาขาถนนลาดปลาเค้า,LAT PLAKHAO ROAD  BRANCH,25420402
002,0076,สาขาบิ๊กซี อ่อนนุช,BIG C ONNUT BRANCH,25450521
002,0078,สาขาบิ๊กซี เพชรเกษม 2,BIG C PHETCHAKASEM 2 BRANCH,25430709
002,0079,สาขาสยามแม็คโคร สามเสน,SIAM MAKRO SAMSEN BRANCH,25450612
002,0080,สาขาอุทยานวิทยาศาสตร์,THAILAND SCIENCE PARK BRANCH,25450729
002,0082,สาขาบิ๊กซี แจ้งวัฒนะ 2,BIG C CHAENGWATTANA 2 BRANCH,25431009
002,0083,สาขานวนคร,NA WA NAKHON BRANCH,25400829
002,0084,สาขาบิ๊กซี รังสิต 2,BIG C RANGSIT 2 BRANCH,25430709
002,0086,สาขาสยามแม็คโคร จรัญสนิทวงศ์,SIAM MAKRO CHANRUNSANITWONG BRANCH,25450927
002,0087,สาขาพันธุ์ทิพย์พลาซ่า,PHANTIP PLAZA  BRANCH,25430922
002,0088,สาขาเดอะมอลล์ งามวงศ์วาน,THE MALL NGAM WONGWAN  BRANCH,25440219
002,0089,สาขาเซ็นทรัล ชิดลม,CENTRAL CHIDLOM  BRANCH,25431120
002,0090,สาขาบิ๊กซี สุวินทวงศ์,BIG C SUWINTAWONG BRANCH,25430810
002,0091,สาขามหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,THAMMASAT UNIVERSITY RANGSIT CAMPUS  BRANCH,25430925
002,0092,สาขาสยามแม็คโคร ลาดพร้าว,SIAM MAKRO LAT PHRAO BRANCH,25430731
002,0093,สาขาอาคารชินวัตร ทาวเวอร์3,SHINAWATRA TOWER 3  BRANCH,25430925
002,0094,สาขาบิ๊กซี บางใหญ่,BIG C BANG YAI BRANCH,25430801
002,0096,สาขาเอ็มโพเรี่ยม,EMPORIUM BRANCH,25440622
002,0101,สำนักงานใหญ่,HEAD OFFICE,24871201
002,0102,สาขาราชวงศ์,RATCHAWONG,24980228
002,0103,สาขายานนาวา,YAN NAWA,24990806
002,0104,สาขาพาหุรัด,PHAHURAT,25000211
002,0105,สาขาบางกะปิ,BANG KAPI,25000408
002,0106,สาขาประตูน้ำ,PRATU NAM,25000729
002,0107,สาขาธนบุรี,THON BURI,25010127
002,0108,สาขาสะพานเหลือง,SPHAN LUANG,25010201
002,0109,สาขาสะพานขาว,SPHAN KHAO,25010522
002,0110,สาขาศรีย่าน,SI YAN,25011016
002,0111,สาขาถนนตะนาว,TANAO ROAD,25020419
002,0112,สาขาสำเพ็ง,SAMPHENG,25020810
002,0113,สาขาถนนประดิพัทธ์,PRADIPHAT ROAD,25031114
002,0114,สาขาบุคคโล,BUKKHALO,25050331
002,0115,สาขาตลาดพลู,TALAT PHLU,25050405
002,0116,สาขาบางลำพู,BANG LAMPHU,25050711
002,0117,สาขากล้วยน้ำไท,KLUAI NAM THAI,25050312
002,0118,สาขาสีลม,SILOM,25060328
002,0119,สาขาบางกอกน้อย,BANGKOK NOI,25060402
002,0120,สาขาบางแค,BANG KHAE,25060904
002,0121,สาขาวรจักร,WORACHAK,25060906
002,0122,สาขาสำโรง,SAMRONG,25070517
002,0123,สาขาราชเทวี,RATCHATHEWI,25071009
002,0124,สาขาลุมพินี,LUMPHINI,25071030
002,0125,สาขาพระประแดง,PHRA PRADAENG,25071120
002,0126,สาขาเจริญพาศน์,CHAROEN PART,25071217
002,0127,สาขาซอยอารี,SOI ARI,25081202
002,0128,สาขาถนนดินแดง,DIN DAENG ROAD,25090107
002,0129,สาขาลาดพร้าว,LATPHRAO,25090608
002,0130,สาขาบางนา,BANG NA,25110503
002,0131,สาขาราชวิถี,RATCHAWITHI,25110916
002,0132,สาขาบางซื่อ,BANG SU,25110912
002,0133,สาขาตรอกจันทร์,TROK CHAN,25110906
002,0134,สาขาสะพานใหม่ดอนเมือง,SAPHAN MAI DONMUANG,25120624
002,0135,สาขาคลองตัน,KHLONGTAN,25120611
002,0136,สาขาท่าเตียน,THA TIAN,25120325
002,0137,สาขาบางยี่ขัน,BANG YI KHAN,25120616
002,0138,สาขาอินทามระ,INTHAMARA,25121222
002,0139,สาขาหัวลำโพง,HUA LAMPHONG,25130430
002,0140,สาขานนทบุรี,NONTHABURI,25130403
002,0141,สาขาท่าพระ,THA PHRA,25131120
002,0142,สาขาสาทร,SATHON,25140624
002,0144,สาขาเจริญผล,CHAROEN PHON,25141118
002,0145,สาขามีนบุรี,MIN BURI,25140730
002,0146,สาขาราชวัตร,RATCHAWAT,25150203
002,0147,สาขาสุรวงศ์,SURAWONG,25150613
002,0148,สาขาวงเวียน 22 กรกฎา,WONGWIAN 22 KARAKADA,25150803
002,0149,สาขาอุรุพงษ์,URU PHONG,25150811
002,0150,สาขาสามยอด,SAM YOT,25160619
002,0151,สาขาคลองสาน,KHLONG SAN,25160622
002,0152,สาขาสยามสแควร์,SIAM SQUARE,25181219
002,0153,สาขาถนนเพชรบุรีตัดใหม่,NEW PETCHABURI ROAD,25170626
002,0154,สาขาตลาดน้อย,TALAT NOI,25170726
002,0155,สาขาสมุทรปราการ,SAMUT PRAKARN,25171211
002,0156,สาขาคลองจั่น,KHLONG CHAN,25180618
002,0157,สาขาพระโขนง,PHRA KHANONG,25180708
002,0158,สาขาถนนตากสิน,TAK SIN ROAD,25180710
002,0159,สาขาสามแยกไฟฉาย,SAM YAEK FAI CHAI,25180709
002,0160,สาขาบางโพ,BANG PHO,25200204
002,0161,สาขาบางเขน,BANG KHEN,25200105
002,0162,สาขาสะพานพระปิ่นเกล้า,SAPHAN PHRA PINKLAO,25190730
002,0163,สาขาลาดกระบัง,LAT KLABANG,25190520
002,0164,สาขาถนนสุขสวัสดิ์,SUK SAWAT ROAD,25191011
002,0165,สาขารังสิต,RANGSIT,25190803
002,0166,สาขาสามพราน,SAM PHRAN,25190721
002,0167,สาขาอ้อมน้อย,OM NOI,25191018
002,0168,สาขาบางขุนเทียน,BANG KHUN THIAN,25201209
002,0169,สาขาสะพานผ่านฟ้า,SAPHAN PHAN FA,25210821
002,0170,สาขาถนนสี่พระยา,SI PHRAYA ROAD,25210901
002,0171,สาขาสาธุประดิษฐ์,SATHU PRADIT,25210224
002,0172,สาขาสุขุมวิท 43,SUKHUMVIT 43,25211124
002,0173,สาขาประตูน้ำพระอินทร์,PRATUNAM PHRA-IN,25210818
002,0174,สาขาบางบัวทอง,BANG BUA THONG,25210817
002,0175,สาขาคลองเตย,KHLONG TOEI,25221005
002,0176,สาขาห้วยขวาง,HUAI KHWANG,25220601
002,0177,สาขาถนนรัชดา-ลาดพร้าว,RATCHADA - LATPHRAO ROAD,25290808
002,0178,สาขาปทุมธานี,PATHUMTHANI,25210421
002,0179,สาขาบางจาก,BANG CHAK,25240611
002,0180,สาขาหัวหมาก,HUA MAK,25231027
002,0181,สาขาลาดพร้าว ซอย 99,"LATPHRAO ROAD,SOI 99",25231017
002,0182,สาขาถนนปู่เจ้าสมิงพราย,PUCHAO SAMINGPHRAI ROAD,25230610
002,0183,สาขาคลองด่าน สมุทรปราการ,"KHLONG DAN,SAMUT PRAKAN",25230111
002,0184,สาขาบางพลัด,BANG PHLAT,25250715
002,0185,สาขาอโศก-ดินแดง,ASOK-DIN DAENG,25260304
002,0186,สาขาราษฎร์บูรณะ,RAT BURANA,25250423
002,0187,สาขารามอินทรา,RAMINTHRA,25250416
002,0188,สาขาแคราย,KHAE LAI,25250319
002,0189,สาขาหลักสี่,LAK SI,25261004
002,0190,สาขาบางขุนนนท์,BANG KHUNNON,25260722
002,0191,สาขาบางบอน,BANG BON,25260923
002,0192,สาขาสวนสยาม,SUAN SAYAM,25270411
002,0193,สาขาถนนประชาชื่น,PRACHA CHUN ROAD,25270314
002,0194,สาขาวงศ์สว่าง,WONG SAWANG,25271204
002,0195,สาขาถนนรัชดา สี่แยกสาธุประดิษฐ์,RATCHADA ROAD SI YAEK SAT,25270926
002,0196,สาขาถนนวิภาวดีรังสิต,WIPHAWADI RANGSIT ROAD,25271003
002,0197,สาขานานาเหนือ,NANA NUA,25290127
002,0198,สาขาถนนพัฒนาการ,PHATTHANAKAN ROAD,25290801
002,0199,สาขาถนนเทพารักษ์ สมุทรปราการ,"THEPHARAK ROAD,SAMUT PRAK",25290502
002,0200,สาขาสวนพลู,SUAN PHLU,25290423
002,0201,สาขาสำนักงาน ก.พ.,KO.PHO. OFFICE,25290124
002,0202,สาขาบางครุ-พระประแดง,"BANG KHRU,PHRA PRADAENG",25301120
002,0203,สาขาถนนลาดพร้าว 44,LATPHRAO ROAD 44,25290529
002,0204,สาขากระทุ่มแบน สมุทรสาคร,"KRATHUM BAEN,SAMUT SAKHON",25290516
002,0205,สาขาถนนเพลินจิต,PHLOENCHIT ROAD,25300911
002,0206,สาขาถนนทองหล่อ,THONG LO ROAD,25310401
002,0207,สาขาห้าแยกปากเกร็ด,HA YAEK PAK KRET,25310106
002,0208,สาขาบางกรวย,BANG KRUAI,25330914
002,0209,สาขาสวนจตุจักร,SUAN CHATUCHAK,25330227
002,0210,สาขาอาคารยาคูลท์ สนามเป้า,YAKULT BUILDING SANAMPAO BRANCH,25340809
002,0211,สาขาตลิ่งชัน,TALING CHAN,25341011
002,0212,สาขาอินทรารักษ์,INTHRARAK,25341108
002,0213,สาขาปากคลองตลาด,PAK KHLONG TALAT,25340201
002,0214,สาขาถนนสายลวด สมุทรปราการ,"SAI LUAT ROAD,SAMUT PRAKA",25341025
002,0215,สาขาถนนพระราม 9,RAMA IX ROAD,25340823
002,0216,สาขาบางพลี,BANG PHLI,25340820
002,0217,สาขาหนองจอก,NONG CHOK,25350220
002,0218,สาขาสุนทรโกษา,SUNTHONKOSA,25340802
002,0219,สาขาถนนจันทน์สะพาน 5,CHAN ROAD SAPHAN 5,25340821
002,0220,สาขาอาคารวานิช,VANIT BUILDING BRANCH,25340719
002,0221,สาขาบางใหญ่ นนทบุรี,"BANG YAI,NONTHABURI",25340819
002,0222,สาขาคลองหลวง ปทุมธานี,"KHLONG LUANG,PATHUM THANI",25340815
002,0223,สาขาเสนานิคม,SENA NIKHOM SUB BR.,25390212
002,0224,สาขามหานาค,MAHA NAK,25350807
002,0225,สาขาท่าอากาศยานกรุงเทพ,BANGKOK AIRPORT SUB BR.,25361110
002,0226,สาขาโอเรียนเต็ล,ORIENTAL BRANCH,25340927
002,0227,สาขาถนนศรีนครินทร์ สำโรงเหนือ สมุทรปราการ,"SINAKHARIN ROAD,NORTH SAMRONG, SAMUTHPRAKRAN",25360806
002,0228,สาขาถนนพระราม 2 กม.7,RAMA II ROAD KM.7,25360423
002,0229,สาขาหลักสี่พลาซ่า,LAK SI PLAZA BR.,25390429
002,0230,สาขาโชคชัย 4 ลาดพร้าว,CHOK CHAI 4 LATPHRAO SUB,25380915
002,0231,สาขาเขื่อนขันธ์-พระประแดง,KHUENHAN-PHRA PRADAENG BRANCH,25410814
002,0232,สาขาซีคอน สแควร์,SECON SQUARE BR.,25370624
002,0233,สาขาถนนแจ้งวัฒนะ,CHAENGWATTHANA ROAD,25370916
002,0234,สาขาเดอะมอลล์ บางกะปิ,THE MALL BANG KAPI BRANCH,25370909
002,0235,สาขาถนนประชาอุทิศ ราษฎร์บูรณะ,PHRACHA UTHIT ROAD RATURANA BRANCH,25410821
002,0236,สาขาหนองแขม,NONG KHAEM,25380623
002,0237,สาขาตลาดสี่มุมเมือง รังสิต,TALAT SI MUM MUANG,25381006
002,0238,สาขาเดอะมอลล์ บางแค,THE MALL BANG KHAE,25370819
002,0239,สาขาอ้อมใหญ่ นครปฐม,OM YAI SUB BR.,25390401
002,0240,สาขาสี่แยกบางนา,SIYAEK BANG NA SUB BR.,25410814
002,0241,สาขาถนนกิ่งแก้ว,KING KAEO RD.,25390131
002,0242,สาขาบางรัก,BANGRAK BRANCH,25430309
002,0243,สาขาถนนรามคำแหง ซอย 28,"RAMKHAMHANG RD.,SOI 28 BRANCH",25390202
002,0244,สาขาอ่อนนุช ซอย 16,ONNUT SOI 16 BRANCH,25390129
002,0245,สาขาเดอะมอลล์-ท่าพระ,THE MALL THAPHRA BRANCH,25390130
002,0246,สาขาภาษีเจริญ,PHASI CHAROEN BRANCH,25390201
002,0247,สาขาพุทธมณฑล-นครปฐม,PHUTTHAMONTHON NAKHON PATHOM,25390719
002,0248,สาขานพวงศ์-ลาดหลุมแก้ว,NOPPHAWONG LAT LUMKAEO BRANCH,25400117
002,0249,สาขาวังน้อย อยุธยา,WANG NOI  AYUDHAYA,25390304
002,0251,สาขาท่าแพ,CHIANG MAI TA PHAE- CHIANG MAI BRANCH,25041118
002,0252,สาขาศรีนครพิงค์,SI  NAKHONPHING CHIANG MAI BRANCH,24970722
002,0253,สาขาสันป่าข่อย,SANPAKOI - CHIANG MAI BRANCH,24931030
002,0254,สาขาลำปาง,LAMPANG-WIANG,24940119
002,0255,สาขาสบตุ๋ย,SOBTUI,24940505
002,0256,สาขาอุบลราชธานี,UBON RATCHATHANI   BR.,24930513
002,0257,สาขาวารินชำราบ,WARIN CHAMRAP UBONRATCHATHANI Br.,25050401
002,0258,สาขาสุไหงโก-ลค,SU-NGAI KOLOK,24961123
002,0259,สาขาหาดใหญ่,HAT YAI,24980125
002,0260,สาขาขอนแก่น,KHON KAEN,25041208
002,0261,สาขาตรัง,TRANG,25041214
002,0262,สาขาเชียงราย,CHIANG RAI BRANCH,25041216
002,0263,สาขาพิษณุโลก,PHITSANULOK,25041220
002,0264,สาขาภูเก็ต,PHUKET,25050522
002,0265,สาขาชลบุรี,CHON BURI,25050225
002,0266,สาขายะลา,YALA,25050304
002,0267,สาขาปัตตานี,PATTANI,25050424
002,0268,สาขาสงขลา,SONGKHLA,25050430
002,0269,สาขาร้อยเอ็ด,ROI ET,25060518
002,0270,สาขาสระบุรี,SARA BURI,25070530
002,0271,สาขายโสธร,YASOTHON   BR.,25080306
002,0272,สาขาสมุทรสงคราม,SAMUT SONGKHRAM,25081014
002,0273,สาขาเมืองพล,PHON,25090723
002,0274,สาขาระโนด,RA-NODE,25090712
002,0275,สาขานครปฐม,NAKHON PATHOM,25100120
002,0276,สาขาบ้านโป่ง,BAN PONG,25090907
002,0277,สาขาระยอง,RAYONG,25091211
002,0278,สาขาเพชรบุรี,PHETCHABURI,25100327
002,0279,สาขาศรีราชา,SI RACHA,25100220
002,0280,สาขากระบี่,KRABI,25100803
002,0281,สาขานครสวรรค์,NAKHON SAWAN,25100915
002,0282,สาขาทับสะแก,THAP SAKAE,25100821
002,0283,สาขาฉะเชิงเทรา,CHACHOENGSAO,25100901
002,0284,สาขาอุดรธานี,UDON THANI,25110212
002,0285,สาขานครราชสีมา,NAKHON RATCHASIMA  Br.,25101004
002,0286,สาขาสี่แยกกบินทร์บุรี,,25110315
002,0287,สาขาบ้านแพ้ว,BAN PHAEO,25101208
002,0288,สาขาตะพานหิน,TAPHAN HIN,25110906
002,0289,สาขาลพบุรี,LOP BURI,25110809
002,0290,สาขาจันทบุรี,CHANTHABURI,25120606
002,0291,สาขาระนอง,RANONG,25120526
002,0292,สาขาราชบุรี,RATCHABURI,25131022
002,0293,สาขาอุตรดิตถ์,UTTARADIT,25131124
002,0294,สาขานครศรีธรรมราช,NAKHON SI THAMMARAT,25131202
002,0295,สาขาพะเยา,PHAYAO,25140805
002,0296,สาขาสุราษฎร์ธานี,SURAT THANI,25140810
002,0297,สาขาบุรีรัมย์,BURI RUM  Br.,25150204
002,0298,สาขามหาสารคาม,MAHA SARAKHAM,25150620
002,0299,สาขาหนองคาย,NONG KHAI,25150210
002,0300,สาขาชัยภูมิ,CHAIYAPHUM,25150207
002,0301,สาขาสุรินทร์,SURIN  Br.,25150811
002,0302,สาขาชุมพร,CHUMPHON,25150807
002,0303,สาขาตาก,TAK,25151127
002,0304,สาขาแพร่,PHRAE,25151124
002,0305,สาขานครนายก,NAKHON NAYOK,25170621
002,0306,สาขานครพนม,NAKHON PHANOM,25160608
002,0307,สาขาสุพรรณบุรี,SUPHAN BURI,25160627
002,0308,สาขาสมุทรสาคร,SAMUT SAKHON BRANCH,25160618
002,0309,สาขากำแพงเพชร,KAMPHAENG PHET,25161109
002,0310,สาขาตาคลี,TAKHLI,25161128
002,0311,สาขาโคกสำโรง,KHOK SAMRONG,25161130
002,0312,สาขามุกดาหาร,MUKDAHAN,25161116
002,0313,สาขากันตัง,KANTANG,25161123
002,0314,สาขาสิงห์บุรี,SING BURI,25170801
002,0315,สาขากาฬสินธุ์,KALASIN,25170729
002,0316,สาขาสกลนคร,SAKON NAKHON,25171129
002,0317,สาขาหลังสวน,LANG SUAN,25171203
002,0318,สาขาพัทลุง,PAHTTHALUNG,25171209
002,0319,สาขาสตูล,SATUN,25171206
002,0320,สาขาพนมสารคาม,PHANOM SARAKHAM,25180624
002,0321,สาขาประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,25180711
002,0322,สาขาอยุธยา,AYUTTHAYA,25180715
002,0323,สาขาพิจิตร,PHICHIT,25180627
002,0324,สาขาท่ายาง,THA YANG,25180620
002,0325,สาขาหล่มสัก,LOM SAK,25180704
002,0326,สาขาสวรรคโลก,SAWAN KHALOK,25180707
002,0327,สาขากาญจนบุรี,KANCHANABURI,25190326
002,0328,สาขาแม่สอด,MAE SOT,25190702
002,0329,สาขาแกลง,KLAENG,25190802
002,0330,สาขาอุทัยธานี,UTHAI THANI,25190705
002,0331,สาขาปากช่อง,PAK CHONG  Br.,25190430
002,0332,สาขาเลย,LOEI,25190419
002,0333,สาขาศรีสะเกษ,SI SA KET  Br.,25190521
002,0334,สาขาลำพูน,LAMPHUN BRANCH,25190611
002,0335,สาขาปากพนัง,PAK PHANANG,25190804
002,0336,สาขาตราด,TRAT,25191105
002,0337,สาขาน่าน,NAN,25200204
002,0338,สาขานราธิวาส,NARATHIWAT,25200128
002,0339,สาขาถนนมิตรภาพ นครราชสีมา,"N. RACHASIMA,MIT. RD Br.",25200121
002,0340,สาขากิโลศูนย์-อุบลราชธานี,"UBON , KILOSUN RD. Br.",25191029
002,0341,สาขาสัตหีบ,SATTAHIP,25190723
002,0342,สาขาบางละมุง,BANG LAMUNG,25190625
002,0343,สาขาพนัสนิคม,PHANAT NIKOM,25190730
002,0344,สาขาหาดใหญ่-ย่านเพชรเกษม,PHETKASEM ROAD HATYAI,25190806
002,0345,สาขาลำนารายณ์,LAM NARAI,25190728
002,0346,สาขาชุมแพ,CHUM PHAE,25190726
002,0347,สาขาเนินเต็ง ชลบุรี,"NOEN TENG,CHON BURI",25290418
002,0348,สาขาท่าเรือ-กาญจนบุรี,"THA RUA,KANCHANABURI",25190816
002,0349,สาขาทุ่งสง,THUNG SONG,25191020
002,0350,สาขาโพธาราม,PHOTHARAM,25190716
002,0351,สาขากันทรลักษ์,KANTHARALAK   Br.,25190427
002,0352,สาขาเดชอุดม อุบลราชธานี,DET UDOM  Br.,25191008
002,0353,สาขาบ้านบึง,BAN BUNG,25190820
002,0354,สาขาหัวหิน,HUA HIN,25190628
002,0355,สาขาบ้านหมี่,BAN MI,25191013
002,0356,สาขาพิมาย,PHIMAI   Br.,25190618
002,0357,สาขาสันกำแพง,SAN KAMPHAENG BRANCH,25191001
002,0358,สาขาแม่ริม,MAE RIM BRANCH,25190929
002,0359,สาขากำแพงแสน,KAMPHAENG SAEN,25190709
002,0360,สาขาวังทอง,WANG THONG,25191021
002,0361,สาขาพาน,PHAN BRANCH,25190927
002,0362,สาขาอำนาจเจริญ,AMNAT CHAROEN   Br.,25190305
002,0363,สาขาพยุหะคีรี,PHAYUHA KHIRI,25191015
002,0364,สาขาจอมบึง,CHOM BUNG,25190924
002,0365,สาขาบางน้ำเปรี้ยว,BANG NAM PRIEO,25191018
002,0366,สาขาเพชรบูรณ์,PHETCHABUN,25190416
002,0367,สาขาสันป่าตอง,SAN PA THONG BRANCH,25201223
002,0368,สาขาวิเศษชัยชาญ,WISET CHAI CHAN,25210106
